N1W4B2R1	6	0.48056793212890625
N1W4B2R2	6	0.4771125316619873
N1W4B3R0	6	0.4650239944458008
N1W4B3R3	6	0.4746251106262207
N1W3B3R3	8	0.489105224609375
N2W3B3R4	15	0.9018867015838623
N2W3B3R9	14	0.9517168998718262
N2W3B3R8	15	0.9838724136352539
N2W2B3R4	21	1.0479164123535156
N2W3B1R7	15	0.9832096099853516
N3W4B3R7	21	1.972693681716919
N3W4B3R8	23	2.181652069091797
N3W3B3R9	29	2.235508680343628
N3W4B3R6	23	1.9809632301330566
N3W3B3R8	29	2.4041433334350586
N4W4B3R2	57	7.554637908935547
N4W4B3R4	55	6.162603378295898
N4W3B3R9	71	6.731935501098633
N4W4B3R3	56	6.9451165199279785
N4W4B3R1	54	8.587968826293945
