N1C1W2_K	35	20.710811853408813
N1C1W4_D	38	17.714109182357788
N1C1W1_D	28	18.95547389984131
N1C1W1_F	27	21.11255168914795
N1C1W2_D	31	23.26757788658142
N1C2W2_E	33	14.392959833145142
N1C2W1_F	22	20.760708808898926
N1C2W1_B	26	14.753247261047363
N1C2W4_C	30	17.03713035583496
N1C2W2_L	30	14.678410053253174
N1C3W1_A	17	12.402689695358276
N1C3W2_H	23	13.514076709747314
N1C3W1_B	16	23.341588020324707
N1C3W2_G	23	13.566146612167358
N1C3W1_C	18	13.36770749092102
N2C1W2_D	74	69.01314187049866
N2C1W2_C	68	76.21374654769897
N2C1W4_I	73	74.67045211791992
N2C1W4_D	82	79.32238030433655
N2C2W1_B	50	56.238630056381226
N2C2W1_F	49	68.23484253883362
N2C2W4_G	61	67.50436878204346
N2C2W4_B	60	63.319605350494385
N2C2W2_J	56	63.30077576637268
N2C2W2_T	56	74.69860243797302
N2C3W1_B	35	72.77333402633667
N2C3W1_A	35	101.68332576751709
N3C1W4_B	149	329.240660905838
N3C1W1_D	108	494.22430753707886
N3C1W1_G	111	413.1974151134491
